@relation syntPYP

@attribute w0 {0,1}
@attribute w1 {0,1}
@attribute w2 {0,1}
@attribute w3 {0,1}
@attribute w4 {0,1}
@attribute w5 {0,1}
@attribute w6 {0,1}
@attribute w7 {0,1}
@attribute w8 {0,1}
@attribute w9 {0,1}
@attribute w10 {0,1}
@attribute w11 {0,1}
@attribute w12 {0,1}
@attribute w13 {0,1}
@attribute w14 {0,1}
@attribute w15 {0,1}
@attribute w16 {0,1}
@attribute w17 {0,1}
@attribute w18 {0,1}
@attribute w19 {0,1}
@attribute w20 {0,1}
@attribute w21 {0,1}
@attribute w22 {0,1}
@attribute w23 {0,1}
@attribute w24 {0,1}
@attribute w25 {0,1}
@attribute w26 {0,1}
@attribute w27 {0,1}
@attribute w28 {0,1}
@attribute w29 {0,1}
@attribute w30 {0,1}
@attribute w31 {0,1}
@attribute w32 {0,1}
@attribute w33 {0,1}
@attribute w34 {0,1}
@attribute w35 {0,1}
@attribute w36 {0,1}
@attribute w37 {0,1}
@attribute w38 {0,1}
@attribute w39 {0,1}
@attribute w40 {0,1}
@attribute w41 {0,1}
@attribute w42 {0,1}
@attribute w43 {0,1}
@attribute w44 {0,1}
@attribute w45 {0,1}
@attribute w46 {0,1}
@attribute w47 {0,1}
@attribute w48 {0,1}
@attribute w49 {0,1}
@attribute w50 {0,1}
@attribute w51 {0,1}
@attribute w52 {0,1}
@attribute w53 {0,1}
@attribute w54 {0,1}
@attribute w55 {0,1}
@attribute w56 {0,1}
@attribute w57 {0,1}
@attribute w58 {0,1}
@attribute w59 {0,1}
@attribute w60 {0,1}
@attribute w61 {0,1}
@attribute w62 {0,1}
@attribute w63 {0,1}
@attribute w64 {0,1}
@attribute w65 {0,1}
@attribute w66 {0,1}
@attribute w67 {0,1}
@attribute w68 {0,1}
@attribute w69 {0,1}
@attribute w70 {0,1}
@attribute w71 {0,1}
@attribute w72 {0,1}
@attribute w73 {0,1}
@attribute w74 {0,1}
@attribute w75 {0,1}
@attribute w76 {0,1}
@attribute w77 {0,1}
@attribute w78 {0,1}
@attribute w79 {0,1}
@attribute w80 {0,1}
@attribute w81 {0,1}
@attribute w82 {0,1}
@attribute w83 {0,1}
@attribute w84 {0,1}
@attribute w85 {0,1}
@attribute w86 {0,1}
@attribute w87 {0,1}
@attribute w88 {0,1}
@attribute w89 {0,1}
@attribute w90 {0,1}
@attribute w91 {0,1}
@attribute w92 {0,1}
@attribute w93 {0,1}
@attribute w94 {0,1}
@attribute w95 {0,1}
@attribute w96 {0,1}
@attribute w97 {0,1}
@attribute w98 {0,1}
@attribute w99 {0,1}
@attribute t0 {0,1}
@attribute t1 {0,1}
@attribute t2 {0,1}
@attribute t3 {0,1}
@attribute t4 {0,1}
@attribute t5 {0,1}
@attribute t6 {0,1}
@attribute t7 {0,1}
@attribute t8 {0,1}
@attribute t9 {0,1}
@attribute t10 {0,1}
@attribute t11 {0,1}
@attribute t12 {0,1}
@attribute t13 {0,1}
@attribute t14 {0,1}
@attribute t15 {0,1}
@attribute t16 {0,1}
@attribute t17 {0,1}
@attribute t18 {0,1}
@attribute t19 {0,1}
@attribute t20 {0,1}
@attribute t21 {0,1}
@attribute t22 {0,1}
@attribute t23 {0,1}
@attribute t24 {0,1}
@attribute t25 {0,1}
@attribute t26 {0,1}
@attribute t27 {0,1}
@attribute t28 {0,1}
@attribute t29 {0,1}
@attribute t30 {0,1}
@attribute t31 {0,1}
@attribute t32 {0,1}
@attribute t33 {0,1}
@attribute t34 {0,1}
@attribute t35 {0,1}
@attribute t36 {0,1}
@attribute t37 {0,1}
@attribute t38 {0,1}
@attribute t39 {0,1}
@attribute t40 {0,1}
@attribute t41 {0,1}
@attribute t42 {0,1}
@attribute t43 {0,1}
@attribute t44 {0,1}
@attribute t45 {0,1}
@attribute t46 {0,1}
@attribute t47 {0,1}
@attribute t48 {0,1}
@attribute t49 {0,1}
@attribute t50 {0,1}
@attribute t51 {0,1}
@attribute t52 {0,1}
@attribute t53 {0,1}
@attribute t54 {0,1}
@attribute t55 {0,1}
@attribute t56 {0,1}
@attribute t57 {0,1}
@attribute t58 {0,1}
@attribute t59 {0,1}
@attribute t60 {0,1}
@attribute t61 {0,1}
@attribute t62 {0,1}
@attribute t63 {0,1}
@attribute t64 {0,1}
@attribute t65 {0,1}
@attribute t66 {0,1}
@attribute t67 {0,1}
@attribute t68 {0,1}
@attribute t69 {0,1}
@attribute t70 {0,1}
@attribute t71 {0,1}
@attribute t72 {0,1}
@attribute t73 {0,1}
@attribute t74 {0,1}
@attribute t75 {0,1}
@attribute t76 {0,1}
@attribute t77 {0,1}
@attribute t78 {0,1}
@attribute t79 {0,1}
@attribute t80 {0,1}
@attribute t81 {0,1}
@attribute t82 {0,1}
@attribute t83 {0,1}
@attribute t84 {0,1}
@attribute t85 {0,1}
@attribute t86 {0,1}
@attribute t87 {0,1}
@attribute t88 {0,1}
@attribute t89 {0,1}
@attribute t90 {0,1}
@attribute t91 {0,1}
@attribute t92 {0,1}
@attribute t93 {0,1}
@attribute t94 {0,1}
@attribute t95 {0,1}
@attribute t96 {0,1}
@attribute t97 {0,1}
@attribute t98 {0,1}
@attribute t99 {0,1}

@data
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0
0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
